x,y,z,yaw,mps,change_flag
703441.533,5268431.058,0,1.9897310277348563,10,0
703441.126,5268431.972,0,1.990137974469239,10,0
703440.719,5268432.885,0,1.9910513163822954,10,0
703440.311,5268433.798,0,1.9897310277348563,10,0
703439.904,5268434.712,0,1.990137974469239,10,0
703439.497,5268435.625,0,1.9906437022148462,10,0
703439.089,5268436.539,0,1.990137974469239,10,0
703438.682,5268437.452,0,1.9901379740898941,10,0
703438.275,5268438.365,0,1.9897310277348563,10,0
703437.868,5268439.279,0,1.9910513167622625,10,0
703437.46,5268440.192,0,1.9897310277348563,10,0
703437.053,5268441.106,0,1.9901379740898941,10,0
703436.646,5268442.019,0,1.9906437022148462,10,0
703436.238,5268442.933,0,1.990137974469239,10,0
703435.831,5268443.846,0,1.990137974469239,10,0
703435.424,5268444.759,0,1.9906437019417782,10,0
703435.016,5268445.673,0,1.9901379743628687,10,0
703434.609,5268446.586,0,1.9897310277348563,10,0
703434.202,5268447.5,0,1.9910513167622625,10,0
703433.794,5268448.413,0,1.9901379740898941,10,0
703433.387,5268449.326,0,1.9897310277348563,10,0
703432.98,5268450.24,0,1.990137974469239,10,0
703432.573,5268451.153,0,1.9906437022148462,10,0
703432.165,5268452.067,0,1.9901379740898941,10,0
703431.758,5268452.98,0,1.9897310277348563,10,0
703431.351,5268453.894,0,1.9910513167622625,10,0
703430.943,5268454.807,0,1.990137974469239,10,0
703430.536,5268455.72,0,1.9897310277348563,10,0
703430.129,5268456.634,0,1.9901379740898941,10,0
703429.722,5268457.547,0,1.9906437022148462,10,0
703429.314,5268458.461,0,1.990137974469239,10,0
703428.907,5268459.374,0,1.990137974469239,10,0
703428.5,5268460.287,0,1.9906437019417782,10,0
703428.092,5268461.201,0,1.9901379743628687,10,0
703427.685,5268462.114,0,1.9897310277348563,10,0
703427.278,5268463.028,0,1.9910513167622625,10,0
703426.87,5268463.941,0,1.9897310273562039,10,0
703426.463,5268464.855,0,1.990137974469239,10,0
703426.056,5268465.768,0,1.990137974469239,10,0
703425.649,5268466.681,0,1.9906437022148462,10,0
703425.241,5268467.595,0,1.9901379740898941,10,0
703424.834,5268468.508,0,1.9897310277348563,10,0
703424.427,5268469.422,0,1.9910513167622625,10,0
703424.019,5268470.335,0,1.990137974469239,10,0
703423.612,5268471.248,0,1.9897310277348563,10,0
703423.205,5268472.162,0,1.9910513162760117,10,0
703422.797,5268473.075,0,1.9897310277348563,10,0
703422.39,5268473.989,0,1.990137974469239,10,0
703421.983,5268474.902,0,1.9897310277348563,10,0
703421.576,5268475.816,0,1.9910513163822954,10,0
703421.168,5268476.729,0,1.9901379743628687,10,0
703420.761,5268477.642,0,1.9897310277348563,10,0
703420.354,5268478.556,0,1.9910513167622625,10,0
703419.946,5268479.469,0,1.9897310273562039,10,0
703419.539,5268480.383,0,1.990137974469239,10,0
703419.132,5268481.296,0,1.9910513166559787,10,0
703418.724,5268482.209,0,1.9897310277348563,10,0
703418.317,5268483.123,0,1.9901379740898941,10,0
703417.91,5268484.036,0,1.9897310277348563,10,0
703417.503,5268484.95,0,1.9910513167622625,10,0
703417.095,5268485.863,0,1.9897310277348563,10,0
703416.688,5268486.777,0,1.9901379740898941,10,0
703416.281,5268487.69,0,1.9910513166559787,10,0
703415.873,5268488.603,0,1.9897310277348563,10,0
703415.466,5268489.517,0,1.990137974469239,10,0
703415.059,5268490.43,0,1.9897310277348563,10,0
703414.652,5268491.344,0,1.9910513163822954,10,0
703414.244,5268492.257,0,1.9901379743628687,10,0
703413.837,5268493.17,0,1.9897310277348563,10,0
703413.43,5268494.084,0,1.9910513163822954,10,0
703413.022,5268494.997,0,1.9897310277348563,10,0
703412.615,5268495.911,0,1.990137974469239,10,0
703412.208,5268496.824,0,1.9906437022148462,10,0
703411.8,5268497.738,0,1.990137974469239,10,0
703411.393,5268498.651,0,1.9901379740898941,10,0
703410.986,5268499.564,0,1.9897310277348563,10,0
