Point_ID,Lat,Lon,UTM_E,UTM_N,x,y,z,mps,change_flag,yaw
6014,47.54023147031783,17.70159815857046,703304.545,5268738.284,703304.545,5268738.284,0,10,0,1.9890206573342522
6015,47.540232295782374,17.701597665141815,703304.505,5268738.374,703304.505,5268738.374,0,10,0,1.9941070821480382
6016,47.54023312124692,17.70159717171317,703304.464,5268738.465,703304.464,5268738.465,0,10,0,1.9890206573342522
6017,47.54023394671147,17.701596678284528,703304.424,5268738.555,703304.424,5268738.555,0,10,0,1.98493487755387
6018,47.540234772176014,17.701596184855887,703304.384,5268738.646,703304.384,5268738.646,0,10,0,1.9982606401433833
6019,47.54023559764056,17.701595691427244,703304.343,5268738.736,703304.343,5268738.736,0,10,0,1.9890206534937467
6020,47.54023642310511,17.7015951979986,703304.303,5268738.826,703304.303,5268738.826,0,10,0,1.984934876481732
6021,47.54023724856965,17.701594704569956,703304.263,5268738.917,703304.263,5268738.917,0,10,0,1.9982606412145805
6022,47.5402380740342,17.701594211141316,703304.222,5268739.007,703304.222,5268739.007,0,10,0,1.984934876481732
6023,47.540238899498746,17.701593717712672,703304.182,5268739.098,703304.182,5268739.098,0,10,0,1.9890206573342522
6024,47.54023972496329,17.70159322428403,703304.142,5268739.188,703304.142,5268739.188,0,10,0,1.9941070821480382
6025,47.54024055042784,17.701592730855385,703304.101,5268739.279,703304.101,5268739.279,0,10,0,1.9890206573342522
6026,47.540241375892386,17.701592237426745,703304.061,5268739.369,703304.061,5268739.369,0,10,0,1.9890206573342522
6027,47.54024220135693,17.7015917439981,703304.021,5268739.459,703304.021,5268739.459,0,10,0,1.984934876481732
6028,47.54024302682148,17.701591250569457,703303.981,5268739.55,703303.981,5268739.55,0,10,0,1.9982606412145805
6029,47.540243852286025,17.701590757140814,703303.94,5268739.64,703303.94,5268739.64,0,10,0,1.984934876481732
6030,47.54024467775057,17.701590263712173,703303.9,5268739.731,703303.9,5268739.731,0,10,0,1.9890206534937467
6031,47.54024550321512,17.70158977028353,703303.86,5268739.821,703303.86,5268739.821,0,10,0,1.9941070859810264
6032,47.540246328679665,17.701589276854886,703303.819,5268739.912,703303.819,5268739.912,0,10,0,1.9890206534937467
6033,47.54024715414421,17.701588783426242,703303.779,5268740.002,703303.779,5268740.002,0,10,0,1.98493487755387
6034,47.54024797960876,17.701588289997602,703303.739,5268740.093,703303.739,5268740.093,0,10,0,1.9982606401433833
6035,47.540248805073304,17.70158779656896,703303.698,5268740.183,703303.698,5268740.183,0,10,0,1.98902065625411
6036,47.54024963053785,17.701587303140315,703303.658,5268740.273,703303.658,5268740.273,0,10,0,1.98493487755387
6037,47.5402504560024,17.70158680971167,703303.618,5268740.364,703303.618,5268740.364,0,10,0,1.9982606401433833
6038,47.540251281466944,17.701586316283027,703303.577,5268740.454,703303.577,5268740.454,0,10,0,1.98493487755387
6039,47.54025210693149,17.701585822854387,703303.537,5268740.545,703303.537,5268740.545,0,10,0,1.9890206573342522
6040,47.54025293239604,17.701585329425743,703303.497,5268740.635,703303.497,5268740.635,0,10,0,1.9941070821480382
6041,47.54025375786058,17.7015848359971,703303.456,5268740.726,703303.456,5268740.726,0,10,0,1.9890206573342522
